date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:48	1295/1295	---M-Z	200	added ('OK')	text/plain	etag:%227610dc2ea61ad51:0%22	https://www.marketsandmarkets.com/robots.txt		(from )
19:27:50	89231/89231	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:57:49%20GMT	https://www.marketsandmarkets.com/	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/index.html	(from )
19:27:53	121255/121255	---M-Z	200	added ('OK')	text/css	etag:%2201376cbdd5bd41:0%22	https://www.marketsandmarkets.com/CSS/bootstrap.min.css	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/CSS/bootstrap.min.css	(from https://www.marketsandmarkets.com/)
19:27:55	30999/30999	---M-Z	200	added ('OK')	text/css	etag:%2201376cbdd5bd41:0%22	https://www.marketsandmarkets.com/CSS/font-awesome.min.css	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/CSS/font-awesome.min.css	(from https://www.marketsandmarkets.com/)
19:27:59	86394/86394	---M-Z	200	added ('OK')	text/css	etag:%22ec775ab6df0d41:0%22	https://www.marketsandmarkets.com/CSS/style.css?v1	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/CSS/style6654.css	(from https://www.marketsandmarkets.com/)
19:28:02	26410/26410	---M-Z	200	added ('OK')	application/javascript	etag:%22b57ba583f9cbd21:0%22	https://www.marketsandmarkets.com/jsfiles/validateletter.js	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/jsfiles/validateletter.js	(from https://www.marketsandmarkets.com/)
19:28:04	10524/10524	---M-Z	200	added ('OK')	application/javascript	etag:%220db7583f9cbd21:0%22	https://www.marketsandmarkets.com/jsfiles/validatenewuser.js	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/jsfiles/validatenewuser.js	(from https://www.marketsandmarkets.com/)
19:28:05	4910/4910	---M-Z	200	added ('OK')	text/css	etag:%220c2bd921b8cd1:0%22	https://chatserver.comm100.com/css/comm100_livechatbutton.css	C:/My%20Web%20Sites/cascade/chatserver.comm100.com/css/comm100_livechatbutton.css	(from https://www.marketsandmarkets.com/)
19:28:05	466/466	---M-Z	200	added ('OK')	application/x-javascript	etag:c69c1bc94be04d8ab4b1b7eceac7e7c2	https://chatserver.comm100.com/js/LiveChat.js?siteId=122367&planId=1867&partnerId=-1	C:/My%20Web%20Sites/cascade/chatserver.comm100.com/js/LiveChat9e91.js	(from https://www.marketsandmarkets.com/)
19:28:08	21696/21696	---M--	200	added ('OK')	font/x-woff	etag:%2207ebffa461d31:0%22	https://www.marketsandmarkets.com/fonts/Give%20You%20What%20You%20Like.woff	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/fonts/Give%20You%20What%20You%20Like.woff	(from https://www.marketsandmarkets.com/)
19:28:12	49436/49436	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2209edc62a561d31:0%22	https://www.marketsandmarkets.com/fonts/Give%20You%20What%20You%20Like.eot	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/fonts/Give%20You%20What%20You%20Like.eot	(from https://www.marketsandmarkets.com/)
19:28:14	5943/5943	---M-Z	200	added ('OK')	application/x-javascript	etag:%229592328a62f4d41:0%22	http://img07.en25.com/i/elqCfg.min.js	C:/My%20Web%20Sites/cascade/img07.en25.com/i/elqCfg.min.js	(from https://www.marketsandmarkets.com/)
19:28:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2009%20Jun%202019%2013:58:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/cascade/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.marketsandmarkets.com/)
19:28:17	7866/7866	---M--	200	added ('OK')	image/jpeg	etag:%22378e3f5cf1ad51:0%22	https://www.marketsandmarkets.com/images/logo1.jpg	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/images/logo1.jpg	(from https://www.marketsandmarkets.com/)
19:28:18	2459/2459	---M--	200	added ('OK')	image/png	etag:%2213f0cad1fdcbd21:0%22	https://www.marketsandmarkets.com/images/logo-mobile.png	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/images/logo-mobile.png	(from https://www.marketsandmarkets.com/)
19:28:22	65599/65599	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:22%20GMT	https://www.marketsandmarkets.com/press-release-2.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/press-release-2.html	(from https://www.marketsandmarkets.com/)
19:28:23	41915/41915	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:23%20GMT	https://www.marketsandmarkets.com/top-market-reports.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/top-market-reports.html	(from https://www.marketsandmarkets.com/)
19:28:24	55653/55653	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:24%20GMT	https://www.marketsandmarkets.com/Career.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/Career.html	(from https://www.marketsandmarkets.com/)
19:28:25	53698/53698	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:25%20GMT	https://www.marketsandmarkets.com/ContactUs.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/ContactUs.html	(from https://www.marketsandmarkets.com/)
19:28:26	57855/57855	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:27%20GMT	https://www.marketsandmarkets.com/casestudies.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/casestudies.html	(from https://www.marketsandmarkets.com/)
19:28:28	75046/75046	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:28%20GMT	https://www.marketsandmarkets.com/competitiveLeadership.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/competitiveLeadership.html	(from https://www.marketsandmarkets.com/)
19:28:29	139446/139446	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:29%20GMT	https://www.marketsandmarkets.com/EngageForums.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/EngageForums.html	(from https://www.marketsandmarkets.com/)
19:28:29	53233/53233	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:30%20GMT	https://www.marketsandmarkets.com/FlyersandBrochures.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/FlyersandBrochures.html	(from https://www.marketsandmarkets.com/)
19:28:31	57049/57049	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:32%20GMT	https://www.marketsandmarkets.com/infographics.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/infographics.html	(from https://www.marketsandmarkets.com/)
19:28:33	129048/129048	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:33%20GMT	https://www.marketsandmarkets.com/Perspective.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/Perspective.html	(from https://www.marketsandmarkets.com/)
19:28:34	80366/80366	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:34%20GMT	https://www.marketsandmarkets.com/Testimonials.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/Testimonials.html	(from https://www.marketsandmarkets.com/)
19:28:35	52194/52194	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:35%20GMT	https://www.marketsandmarkets.com/Top_Trends.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/Top_Trends.html	(from https://www.marketsandmarkets.com/)
19:28:37	58480/58480	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:37%20GMT	https://www.marketsandmarkets.com/AboutUs-8.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/AboutUs-8.html	(from https://www.marketsandmarkets.com/)
19:28:39	50173/50173	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:40%20GMT	https://www.marketsandmarkets.com/BoardOfDirectors.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/BoardOfDirectors.html	(from https://www.marketsandmarkets.com/)
19:28:40	53605/53605	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:41%20GMT	https://www.marketsandmarkets.com/LeadershipTeam.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/LeadershipTeam.html	(from https://www.marketsandmarkets.com/)
19:28:41	49581/49581	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:42%20GMT	https://www.marketsandmarkets.com/ResearchLeadership.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/ResearchLeadership.html	(from https://www.marketsandmarkets.com/)
19:28:42	52613/52613	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:43%20GMT	https://www.marketsandmarkets.com/gallery.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/gallery.html	(from https://www.marketsandmarkets.com/)
19:28:44	28592/28592	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:44%20GMT	https://www.marketsandmarkets.com/signin.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/signin.html	(from https://www.marketsandmarkets.com/)
19:28:45	1181/1181	---M--	200	added ('OK')	image/png	etag:%2299276048264fd41:0%22	https://www.marketsandmarkets.com/images/search_btn.png	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/images/search_btn.png	(from https://www.marketsandmarkets.com/)
19:28:46	104345/104345	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:46%20GMT	https://www.marketsandmarkets.com/Knowledgestore.asp	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/Knowledgestore.html	(from https://www.marketsandmarkets.com/)
19:28:48	116097/116097	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:48%20GMT	https://www.marketsandmarkets.com/telecom-and-IT-market-research-113.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/telecom-and-IT-market-research-113.html	(from https://www.marketsandmarkets.com/)
19:28:50	111132/111132	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:50%20GMT	https://www.marketsandmarkets.com/semiconductorand-electonics-market-research-87.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/semiconductorand-electonics-market-research-87.html	(from https://www.marketsandmarkets.com/)
19:28:51	102061/102061	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:51%20GMT	https://www.marketsandmarkets.com/sensors-and-instruments-market-research-106.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/sensors-and-instruments-market-research-106.html	(from https://www.marketsandmarkets.com/)
19:28:52	106203/106203	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:53%20GMT	https://www.marketsandmarkets.com/semiconductor-manufacturing-market-research-107.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/semiconductor-manufacturing-market-research-107.html	(from https://www.marketsandmarkets.com/)
19:28:53	111258/111258	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:54%20GMT	https://www.marketsandmarkets.com/consumer-electronics-market-research-109.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/consumer-electronics-market-research-109.html	(from https://www.marketsandmarkets.com/)
19:28:54	100549/100549	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:55%20GMT	https://www.marketsandmarkets.com/display-technologies-136.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/display-technologies-136.html	(from https://www.marketsandmarkets.com/)
19:28:55	72390/72390	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:56%20GMT	https://www.marketsandmarkets.com/optoelectronics-led-light-market-research-211.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/optoelectronics-led-light-market-research-211.html	(from https://www.marketsandmarkets.com/)
19:28:57	108909/108909	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:57%20GMT	https://www.marketsandmarkets.com/medical-device-market-research-11.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/medical-device-market-research-11.html	(from https://www.marketsandmarkets.com/)
19:28:59	48627/48627	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:58:59%20GMT	https://www.marketsandmarkets.com/diagnostic-imaging-device-market-research-75.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/diagnostic-imaging-device-market-research-75.html	(from https://www.marketsandmarkets.com/)
19:29:00	41652/41652	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:01%20GMT	https://www.marketsandmarkets.com/drug-delivery-devices-market-research-76.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/drug-delivery-devices-market-research-76.html	(from https://www.marketsandmarkets.com/)
19:29:01	0/0	---M--	301	error ('Redirect')	text/html	date:Sun,%2009%20Jun%202019%2013:59:02%20GMT	https://www.marketsandmarkets.com/minimal-invasive_non-invasive-surgery-market-research-79.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/minimal-invasive_non-invasive-surgery-market-research-79.2b.delayed	(from https://www.marketsandmarkets.com/)
19:29:02	39369/39369	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:03%20GMT	https://www.marketsandmarkets.com/minimal-invasive-non-invasive-surgery-market-research-79.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/minimal-invasive-non-invasive-surgery-market-research-79.html	(from https://www.marketsandmarkets.com/)
19:29:03	44419/44419	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:04%20GMT	https://www.marketsandmarkets.com/therapeutic-market-research-104.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/therapeutic-market-research-104.html	(from https://www.marketsandmarkets.com/)
19:29:05	110551/110551	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:05%20GMT	https://www.marketsandmarkets.com/chemicals-market-research-10.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/chemicals-market-research-10.html	(from https://www.marketsandmarkets.com/)
19:29:06	102679/102679	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:06%20GMT	https://www.marketsandmarkets.com/equipment-machine-and-tooling-233.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/equipment-machine-and-tooling-233.html	(from https://www.marketsandmarkets.com/)
19:29:07	66273/66273	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:08%20GMT	https://www.marketsandmarkets.com/green-chemicals-market-research-101.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/green-chemicals-market-research-101.html	(from https://www.marketsandmarkets.com/)
19:29:09	100896/100896	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:09%20GMT	https://www.marketsandmarkets.com/bulk-chemical-and-inorganics-232.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/bulk-chemical-and-inorganics-232.html	(from https://www.marketsandmarkets.com/)
19:29:11	104388/104388	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:11%20GMT	https://www.marketsandmarkets.com/speciality-chemicals-market-research-57.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/speciality-chemicals-market-research-57.html	(from https://www.marketsandmarkets.com/)
19:29:16	108136/108136	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:15%20GMT	https://www.marketsandmarkets.com/advanced-material-market-research-12.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/advanced-material-market-research-12.html	(from https://www.marketsandmarkets.com/)
19:29:18	79360/79360	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:18%20GMT	https://www.marketsandmarkets.com/ceramic-glass-market-research-61.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/ceramic-glass-market-research-61.html	(from https://www.marketsandmarkets.com/)
